Player,Team,Gms,Att,Yds,Avg,YPG,Lg,TD,FD
Derrick Henry,TEN,16,378,2027.0,5.36,126.7,94t,17,98
Dalvin Cook,MIN,14,312,1557.0,4.99,111.2,70t,16,91
Jonathan Taylor,IND,15,232,1169.0,5.04,77.9,62t,11,69
Aaron Jones,GB,14,201,1104.0,5.49,78.9,77t,9,52
David Montgomery,CHI,15,247,1070.0,4.33,71.3,80t,8,59
James Robinson,JAX,14,240,1070.0,4.46,76.4,47,7,54
Nick Chubb,CLE,12,190,1067.0,5.62,88.9,59,12,55
Josh Jacobs,LV,15,273,1065.0,3.9,71,28t,12,61
Lamar Jackson,BAL,15,159,1005.0,6.32,67,50t,7,56
Melvin Gordon,DEN,15,215,986.0,4.59,65.7,65,9,46
Ezekiel Elliott,DAL,15,244,979.0,4.01,65.3,31,6,62
Ronald Jones II,TB,14,192,978.0,5.09,69.9,98t,7,48
Kenyan Drake,ARI,15,239,955.0,4,63.7,69t,10,59
Alvin Kamara,NO,15,187,932.0,4.98,62.1,49,16,58
Miles Sanders,PHI,12,164,867.0,5.29,72.2,82t,6,39
Kareem Hunt,CLE,16,198,841.0,4.25,52.6,33,6,44
Kyler Murray,ARI,16,133,819.0,6.16,51.2,48,11,52
J.K. Dobbins,BAL,15,134,805.0,6.01,53.7,72t,9,38
Clyde Edwards-Helaire,KC,13,181,803.0,4.44,61.8,31,4,39
Antonio Gibson,WAS,14,170,795.0,4.68,56.8,40,11,40
Gus Edwards,BAL,16,144,723.0,5.02,45.2,36,6,45
James Conner,PIT,13,169,721.0,4.27,55.5,59,6,42
Damien Harris,NE,10,137,691.0,5.04,69.1,41,2,30
David Johnson,HOU,12,147,691.0,4.7,57.6,48,6,38
Devin Singletary,BUF,16,156,687.0,4.4,42.9,51t,2,40
Wayne Gallman,NYG,15,147,682.0,4.64,45.5,60,6,36
Chris Carson,SEA,12,141,681.0,4.83,56.8,29t,5,43
Todd Gurley,ATL,15,195,678.0,3.48,45.2,35t,9,45
Latavius Murray,NO,15,146,656.0,4.49,43.7,36t,4,36
Frank Gore,NYJ,15,187,653.0,3.49,43.5,17,2,32
Mike Davis,CAR,15,165,642.0,3.89,42.8,25,6,38
Cam Akers,LA,13,145,625.0,4.31,48.1,61,2,26
Darrell Henderson,LA,15,138,624.0,4.52,41.6,40,5,40
Adrian Peterson,DET,16,156,604.0,3.87,37.8,38,7,34
Jeffery Wilson,SF,12,126,600.0,4.76,50,34,7,31
Cam Newton,NE,15,137,592.0,4.32,39.5,49,12,55
Myles Gaskin,MIA,10,142,584.0,4.11,58.4,26,3,27
Austin Ekeler,LAC,10,116,530.0,4.57,53,27,1,26
Raheem Mostert,SF,8,104,521.0,5.01,65.1,80t,2,22
D'Andre Swift,DET,13,114,521.0,4.57,40.1,54,8,31
Russell Wilson,SEA,16,83,513.0,6.18,32.1,38,2,25
Jamaal Williams,GB,14,119,505.0,4.24,36.1,25,2,29
Phillip Lindsay,DEN,11,118,502.0,4.25,45.6,55t,1,19
Zack Moss,BUF,13,112,481.0,4.29,37,31,4,30
Brian Hill,ATL,16,100,465.0,4.65,29.1,62,1,18
Taysom Hill,NO,16,87,457.0,5.25,28.6,43,8,34
Sony Michel,NE,9,79,449.0,5.68,49.9,48,1,19
Chase Edmonds,ARI,16,97,448.0,4.62,28,32,1,22
Deshaun Watson,HOU,16,90,444.0,4.93,27.8,16,3,31
Tony Pollard,DAL,16,101,435.0,4.31,27.2,42t,4,23
Alexander Mattison,MIN,13,96,434.0,4.52,33.4,25,2,24
Joe Mixon,CIN,6,119,428.0,3.6,71.3,34t,3,20
Devontae Booker,LV,16,93,423.0,4.55,26.4,43,3,21
Daniel Jones,NYG,14,65,423.0,6.51,30.2,80,1,17
Josh Allen,BUF,16,102,421.0,4.13,26.3,24t,8,38
Malcolm Brown,LA,16,101,419.0,4.15,26.2,19,5,28
Giovani Bernard,CIN,16,124,416.0,3.35,26,15,3,23
Nyheim Hines,IND,16,89,380.0,4.27,23.8,31,3,24
Boston Scott,PHI,16,80,374.0,4.68,23.4,56t,1,16
Benjamin Snell,PIT,16,111,368.0,3.32,23,30,4,25
Leonard Fournette,TB,13,97,367.0,3.78,28.2,46t,6,21
J.D. McKissic,WAS,16,85,365.0,4.29,22.8,17,1,25
Carlos Hyde,SEA,10,81,356.0,4.4,35.6,50t,4,20
